REGIONS,,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
,Kidney beans (white),32,30.15,33.05,32.21,34.83,35.03,35.59,35.61,34.45,34.65,34.59,34.6,34.58
,Kinchay,0.2,0.15,0.16,0.17,0.18,0.2,0.21,0.2,0.2,0.18,0.15,0.13,0.12
,Kondol,22.29,22.07,23.75,24.77,25.49,25.34,25.05,24.7,24.7,24.83,25.31,25.88,25.77
,Kulibangbang,0,0,0,0,0,0,0,0,0,0,0,0,0
,Kulitis,0,0,0,0,0,0,0,0,0,0,0,0,0
,Labig Leaves,0,0,0,0,0,0,0,0,0,0,0,0,0
,Lady's Finger/Okra,33.41,33.62,35.06,36.74,38.36,39.25,39.59,41.23,47.77,51.68,55.12,58.81,61.74
,Lagundi,18.75,20.45,19,14,7.5,3.75,1.8,1.1,0.29,0.28,0.24,0.23,0.23
,Lanzones,25277.8,170.67,4723.96,25718.58,3589.03,3386.17,3035.34,2154.97,2305.42,2427.67,2447.38,2403.46,2316.9
,Laurel,0,0,0,0,0,0,0,0,0,0,0,0,0
,Laza/Tambo,0,0,0,0,0,0,0,0,0,0,0,0,0
,Leaf Fern,0,0,0.12,0.15,0.19,0,0,0,0,0,0,0,0
,Lemon,7.05,5.57,5.63,5.53,3.53,2.55,2.23,1.78,1.61,1.55,1.47,1.4,1.42
,Lemon grass/Tanglad,87.77,87.02,90.39,93.02,96.47,99.33,100.59,102.19,102.97,102.86,105.14,106.41,108.16
,Lepote,0,0,0,0,0,0,0,0,0,0,0,0,0
,Lettuce,0,0,0,0,0,0,0,0,0,0.46,1.23,1.57,1.82
,Likway,3.2,3.3,3.4,3.5,3.6,3.5,3.3,3,3.5,3.6,3.6,3.8,3.85
,Lima beans/Patani,0,0,0,0,0,0,0,0,0,0,0,0,0
,Lime,0,0,0,0,0,0,0,0,0,0,0,0,0
,Longans,0,0,0,0,0,0,0,0,0,0,0,0,0
,Loquat,0,0,0,0,0,0,0,0,0,0,0,0,0
,Lumbia,24.8,22.8,22.92,21.6,21.26,21.25,19.7,20.65,20.7,20.9,20.45,20.69,20.81
,Lumbia Leaves,0,0,0,0,0,0,0,0,0,0,0,0,0
,Lupo,4.7,4.9,5.25,5.5,6.27,6.09,6.04,5.89,5.88,5.73,5.54,5.49,5.29
,Mabolo,0,0,0,0,0,0,0,0,0,0,0,0,0
,Maguey,0,0,0,0,0,0,0,0,0,0,0,0,0
,Makopa,21.75,15.97,16.47,15.72,15.01,14.27,13.55,13.99,13.79,13.68,13.41,13.41,13.7
,Malunggay Fruit,0.75,0.8,0.85,0.9,1,0.9,1.1,1,0.97,0.93,0.92,0.95,0.96
,Malunggay leaves,75.47,75.46,73.91,74.5,78.87,79.29,82.37,85.23,90.88,95.36,99.03,101.3,102.55
,Mandarin,226.08,204.51,4.58,4.3,4.45,3.6,3.6,3.62,3.51,3.47,3.23,3.16,3.12
,Mango,12137.84,8226.33,7431.48,7680.2,10859.77,11496.88,11879.31,12198.08,14416.17,14931.81,15226.67,15649.06,15817.23
,Mango Carabao,2221.46,199.29,2271.48,2156.86,5071.85,5314.81,5511.38,5675.87,7028.75,7150.58,7253.07,7451.51,7556.92
,Mango Others,9465.26,7921.92,4689.02,5152.67,5193.81,5462.8,5643.27,5758.03,6552.34,6911.01,7087.53,7284.85,7332.19
,Mango Piko,451.12,105.11,470.97,370.67,594.11,719.27,724.66,764.18,835.09,870.22,886.07,912.71,928.12
,Mangosteen,2558.45,15.2,1995.76,2047.56,1057.28,997.65,866.22,826.15,883.94,921.38,899.32,890.34,861.45
,Manzanita/Aratelis,5,4,4.67,4.5,4.58,4.58,4.58,4.58,4.4,4,3.88,3.83,3.83
,Marang,1464.62,846.25,1204.29,1131.75,1162.94,1180.73,1153.24,1084.98,1164.33,1203.53,1219.01,1219.78,1201.69
,Mayana,0,0,0.02,0.06,0.05,0,0,0,0,0,0,0,0
,Melon,0,0,0,0,0,0,0,0,0,0,0,0,0
,Melon (Honey-dew),0,0,0,0,0,0,0,0,0,0,0,0,0
,Melon (Muskmelon),0,0,0,0,0,0,0,0,0,0,0,0,0
,Mini Pineapple,0,0,0,0,0,0,0,0,0,0,0,0,0
,Mint,0,0,0,0,0,0,0,0,0,0,0,0,0
,Mungbean/Mongo,2766.8,2724.88,2620.09,2634.55,2632.51,2652.01,2629.43,2630.43,2727.78,2809.77,2858.39,2877.57,2893.56
,Mushroom,12.1,47.35,12.43,11.89,11.53,12.35,11.1,11.14,10.45,9.4,9.22,9.08,9.08
,Mustard,1.44,0.47,0.47,0.5,0.45,0.4,0.3,0.25,0.26,0.29,0.34,0.36,0
,Napier Grass,14.93,9.07,2.31,1.82,1.3,0,0,0,0,1,2.5,3,3.25
,Ngalug,0,0,0,0,0,0,0,0,0,0,0,0,0
,Nipa Leaves,2.4,2.15,2.35,2.81,2.89,2.62,2.19,2.34,1.97,2.13,2.22,2.23,2.21
,Nipa Sap/Wine,126,74,55,51,30,19,10,8,16,17,6.8,6.8,0
,Oil Palm (fresh fruit bunch),664,18795.2,60426.75,106527.73,49063.74,22760,23101,23435.18,24905,25724,26557,26945,27130.51
,Onion (mature bulb),0,0,0,0,0,0,0,0,0,0,0,0.53,0.53
,Onion leeks,363.05,364.4,353.47,354.08,357.58,357.25,358.2,357.22,361.5,364.5,369.01,373.83,377.45
,"Onion, bermuda",0,0,0,0,0,0,0,0,0,0,0,0.53,0.53
,"Onion, native",0,0,0,0,0,0,0,0,0,0,0,0,0
,Orange,69.65,44.65,14.9,13.85,13.62,12.2,12.31,12.37,10.5,10.33,10.05,10.02,9.99
,Orchids,24.65,17.9,13.85,10.65,4.15,0.75,0.25,0.23,0.21,0.24,0.26,0.26,0
,Oregano,6.75,6.7,6.5,4.95,4.65,2,0,0,0,0,0,0,0
,Pahid,0,0,0,0,0,0,0,0,0,0,0,0,0
,Palm Ornamentals,12.4,11.75,12.05,9.26,5.22,4.7,0.31,0.34,0.21,0.18,0.16,0.15,0.16
,Palong Manok,0,0,0,0,0,0,0,0,0,0,0,0,0
,Pandan (For Fiber),0,0,0,0,0,0,0,0,0,0,2.23,2.23,2.68
,Pandan (fresh leaves),33.22,27.27,29,26.34,27.99,28.36,28.36,28.5,28.91,29.16,28.17,29.65,29.76
,Pangi,0,0,0,0,0,0,0,0,0,0,0,0,0
,Pansit-Pansitan,0,0,0,0,0,0,0,0,0,0,0,0,0
,Pao Galiang,55.7,51.1,52.07,51.3,53.4,51.11,51.45,50.89,50.29,50.07,49.83,49,48.63
,Papait,0,0,0,0,0,0,0,0,0,0,0,0,0
,Papaya,2826.6,2854.79,2829.43,2606.74,2646.42,2625.74,2545.58,2591.2,2623.65,2609.84,2553.24,2531.5,2585.37
,Papaya Hawaiian,556.11,547.62,535.33,518.76,513.37,511.84,512.83,527.75,536.61,531,534.01,537.71,558.22
,Papaya Native,1742.94,1751.56,1681.57,1540.76,1515.33,1469.62,1389.21,1414.6,1452.24,1465.29,1446.52,1448.41,1475.99
,Papaya Solo,527.55,555.61,612.53,547.23,617.72,644.28,643.54,648.85,634.8,613.55,572.71,545.39,551.16
,Parsley,0,0,0,0,0,0,0,0,0,0,0,0,0
,Passion Fruit,1.1,1058.1,110.25,50,0,0,0,0,0,0,0,0,0
,Patola,292.13,291.55,286.53,291.47,298.6,301.98,300.45,306.99,309.95,308.84,312.02,310.64,316.39
,Peanut,612.62,604.36,575.88,580.51,578.87,570.26,555.32,562.89,579.03,586.53,596.59,607.9,611.26
,Pears,0,0,0,0,0,0,0,0,0,0,0,0,0
,Pechay,384.25,393.17,381.61,393.14,392.21,395.18,393.05,398.31,415.17,419.38,424.18,430.06,435.7
,"Pechay, Chinese",0,0,0,0,0,0,0,0,0,0,0,0,0
,"Pechay, Native",384.25,393.17,381.61,393.14,392.21,395.18,393.05,398.31,415.17,419.38,424.18,430.06,435.7
,Pepper,37.92,36.33,37.89,39.15,38.41,40.6,40.73,42.24,46.02,48.18,49.27,51.71,55.31
,Pepper chili leaves,35.24,33.42,33.73,34.56,34.24,34.66,35.03,35.21,35.61,35.76,35.82,35.84,35.89
,"Pepper, bell",18.36,17.74,18.41,18.04,17.65,17.62,17.21,17.22,18.14,18.96,18.61,18.85,19.45
,"Pepper, finger",19.56,18.7,19.48,21.11,20.76,22.98,23.52,25.02,27.88,29.22,30.66,32.86,35.86
,Persimmon,0,0,0,0,0,0,0,0,0,0,0,0,0
,Pigeon pea/Kadios,2.38,2.5,2.6,2.38,2.7,2.62,2.53,51.92,51.95,56,56.56,56.73,56.94
,Pili Nut,0,0,0,0,0,0,0,0,0,0,0,0,0
,Pineapple,1134.85,1072.49,1038.71,1065.39,1012.27,920.56,904.78,900.28,924.03,930.64,941.1,948.31,953.3
,Pineapple Fiber,0,0,0,0,0,0,0,0,0,0,0,0,0
,Pomelo,1658.5,1238.53,1216.52,1186.09,1248.9,1261.33,1241.77,1206.85,1211.58,1210.29,1213.35,1205.78,1203.42
,Potato,0,0,0,0,0,0,0,0,0,0,0,0,0
,Puto-Puto,0,0,0,0,0,0,0,0,0,0,0,0,0
,Radish,95.62,89.98,90.85,90.67,86.47,100.06,93.08,93,93.62,92.74,90.06,90.14,90.02
,Radish pods,0,0,0,0,0,0,0,0,0,0,0,0,0
,Rambutan,20.51,6.96,13.2,15.15,22.2,26.5,25.4,17.64,26.1,27.14,26.88,26.43,24.27
,Ramie,38.5,32,9,0,0,0,0,0,0,0,0,0,0
,Rattan Fruits,0,0,0,0,0,0,0,0,0,0,0,0,0
,Rattan pith,0,0,0,0,0,0,0,0,0,0,0,0,0
,Red beans,3.5,3.55,3.6,3.5,3.5,3.45,3.2,3.3,3.36,3.4,3.5,3.55,3.6
,Rensoni,0,0,0,0,0,0,0,0,0,0,0,0,0
,Rice Hay,0,0,0,0,0,0,0,0,0,0,0,0,0
,Romblon,0,0,0,0,0,0,0,0,0,0,0,0,0
,Roses,4.95,4.48,3.85,2.5,2.5,1,0,0,0,0,0,0,0
,Rossel/Labog,0,0,0,0,0,0,0,0,0,0,0,0,0
,Rubber (coagulated cup lump),33496.73,35634.93,40848.6,46833.34,54051.33,59359.16,59364.09,65242.25,70539.04,74619.66,77602.84,78177.53,78369.33
,Sabidokong,0,0,0,0,0,0,0,0,0,0,0,0,0
,Salago,0,0,0,0,0,0,0,0,0,0,0,0,0
